,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
36,Warren Barguil,2023-07-19,Auvergne-Rhône-Alpes,Ain,168.26,5:08:41,5269,297,4748,297,76,32.7,104.0,Dégagé,24,52,24,7.2,WSW
37,Warren Barguil,2023-07-18,Auvergne-Rhône-Alpes,Savoie,6.39,15:21,150,203,171,6,52,25.0,44.9,Nuages,29,38,29,9.5,WSW
38,Warren Barguil,2023-07-18,Auvergne-Rhône-Alpes,Savoie,22.01,39:13,603,331,746,47,85,33.7,75.4,Nuages,32,34,32,9.6,WSW
39,Warren Barguil,2023-07-17,Auvergne-Rhône-Alpes,Savoie,34.65,1:05:54,273,180,535,24,46,31.6,61.9,Quelques nuages,21,64,21,3.8,WSW
40,Warren Barguil,2023-07-16,Auvergne-Rhône-Alpes,Ain,8.36,17:36,4,33,22,0,8,28.5,56.0,Dégagé,22,47,21,6.5,W
41,Warren Barguil,2023-07-16,Auvergne-Rhône-Alpes,Savoie,189.44,5:03:02,4246,301,4527,300,77,37.5,94.4,Quelques nuages,21,62,21,7.0,WNW
42,Warren Barguil,2023-07-15,Auvergne-Rhône-Alpes,Savoie,159.66,4:45:32,4208,287,4108,266,74,33.6,98.0,Quelques nuages,29,44,30,11.9,SW
43,Warren Barguil,2023-07-14,Auvergne-Rhône-Alpes,Ain,17.97,33:01,14,80,63,2,21,32.7,61.7,Dégagé,24,50,24,10.2,SSW
44,Warren Barguil,2023-07-14,Auvergne-Rhône-Alpes,Ain,141.88,3:38:41,2412,270,3049,174,69,38.9,86.5,Quelques nuages,27,44,27,10.3,S
45,Warren Barguil,2023-07-13,Auvergne-Rhône-Alpes,Loire,178.48,4:17:19,3089,289,3498,235,74,41.6,85.4,Dégagé,23,49,23,9.9,NNW
46,Warren Barguil,2023-07-12,Auvergne-Rhône-Alpes,Puy-de-Dôme,189.53,4:21:27,1853,221,2628,141,57,43.5,89.1,Nuages,24,62,24,4.7,NNE
47,Warren Barguil,2023-07-11,Auvergne-Rhône-Alpes,Puy-de-Dôme,174.69,4:05:53,2973,299,3754,241,77,42.6,90.4,Quelques nuages,29,56,31,4.2,SSE
