,Athlète,Date,Région,Département,Distance,Durée,Dénivelé,Puissance moyenne,Effort,Charge entraînement,Intensité,Vitesse moyenne,Vitesse max,Météo,Température,Humidité,Température ressentie,Vitesse vent,Direction vent
79,Quentin Pacher,2023-07-20,Auvergne-Rhône-Alpes,Ain,6.51,17:39,25,121,111,3,32,22.1,40.6,Nuages,27,43,26,12.2,N
80,Quentin Pacher,2023-07-20,Auvergne-Rhône-Alpes,Savoie,199.82,4:41:29,1258,225,2900,163,59,42.6,74.3,Dégagé,25,43,25,7.5,NW
81,Quentin Pacher,2023-07-19,Auvergne-Rhône-Alpes,Ain,167.24,5:37:10,5269,999,9999,999,99,29.8,93.1,Dégagé,24,52,24,7.2,WSW
82,Quentin Pacher,2023-07-18,Auvergne-Rhône-Alpes,Savoie,8.51,18:03,57,109,74,2,29,28.3,48.7,Quelques nuages,28,40,28,9.1,SW
83,Quentin Pacher,2023-07-18,Auvergne-Rhône-Alpes,Savoie,21.91,39:05,644,999,9999,999,99,33.6,76.3,Quelques nuages,32,36,32,9.8,SW
84,Quentin Pacher,2023-07-18,Auvergne-Rhône-Alpes,Ain,4.94,11:37,1,40,10,0,11,25.6,55.4,Quelques nuages,29,38,29,9.4,WSW
85,Quentin Pacher,2023-07-18,Auvergne-Rhône-Alpes,Ain,29.36,1:14:00,592,999,9999,999,99,23.8,54.2,Quelques nuages,23,55,22,5.8,SSE
86,Quentin Pacher,2023-07-17,Auvergne-Rhône-Alpes,Ain,35.57,1:27:48,702,999,9999,999,99,24.3,60.3,Quelques nuages,24,56,25,5.0,WSW
87,Quentin Pacher,2023-07-16,Auvergne-Rhône-Alpes,Savoie,188.88,5:27:15,4244,999,9999,999,99,34.6,87.5,Quelques nuages,21,62,21,7.0,WNW
88,Quentin Pacher,2023-07-15,Auvergne-Rhône-Alpes,Savoie,158.92,4:55:19,4207,999,9999,999,99,32.3,88.8,Quelques nuages,29,44,30,11.9,SW
89,Quentin Pacher,2023-07-14,Auvergne-Rhône-Alpes,Ain,141.44,3:35:33,2412,999,9999,999,99,39.4,90.8,Quelques nuages,27,44,27,10.3,S
90,Quentin Pacher,2023-07-13,Auvergne-Rhône-Alpes,Loire,177.58,4:40:06,3093,999,9999,999,99,38.0,87.0,Dégagé,23,49,23,9.9,NNW
91,Quentin Pacher,2023-07-11,Auvergne-Rhône-Alpes,Puy-de-Dôme,174.04,4:14:52,3112,999,9999,999,99,41.0,89.9,Quelques nuages,29,56,31,4.2,SSE
92,Quentin Pacher,2023-07-10,Auvergne-Rhône-Alpes,Puy-de-Dôme,29.1,56:49,298,999,9999,999,99,30.7,77.3,Quelques nuages,23,73,24,5.1,E
93,Quentin Pacher,2023-07-09,Auvergne-Rhône-Alpes,Ain,185.96,4:49:39,3554,999,9999,999,99,38.5,91.0,Dégagé,27,62,29,10.7,SW
94,Quentin Pacher,2023-07-08,Nouvelle-Aquitaine,Gironde,205.05,4:23:39,2003,999,9999,999,99,46.7,86.5,Dégagé,29,57,31,9.2,S
95,Quentin Pacher,2023-07-07,Nouvelle-Aquitaine,Landes,173.65,3:54:58,765,999,9999,999,99,44.3,79.4,Dégagé,29,60,31,12.9,ESE
96,Quentin Pacher,2023-07-06,Occitanie,Hautes-Pyrénées,151.47,4:33:58,3777,999,9999,999,99,33.2,83.1,Nuages,24,64,25,8.1,ENE
97,Quentin Pacher,2023-07-05,Nouvelle-Aquitaine,Pyrénées-Atlantiques,170.52,4:29:27,3390,999,9999,999,99,38.0,96.3,Nuages,22,68,22,5.4,WNW
98,Quentin Pacher,2023-07-04,Nouvelle-Aquitaine,Landes,186.06,4:35:36,1515,999,9999,999,99,40.5,82.2,Nuages,24,67,25,8.4,W
99,Quentin Pacher,2023-08-30,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,115.12,3:59:31,1801,999,9999,999,99,28.8,62.7,Dégagé,18,73,18,8.5,N
100,Quentin Pacher,2023-08-29,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,64.7,2:07:48,846,999,9999,999,99,30.4,63.9,Dégagé,22,56,22,11.4,SSW
101,Quentin Pacher,2023-08-28,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,164.02,5:20:41,2251,999,9999,999,99,30.7,77.1,Pluie,19,82,20,4.4,E
102,Quentin Pacher,2023-08-26,Provence-Alpes-Côte d'Azur,Alpes-Maritimes,114.61,4:08:30,2665,999,9999,999,99,27.7,70.5,Dégagé,22,68,23,4.1,N
